date_id,full_date,year,quarter,month,month_name,day,day_name
19910930,1991-09-30,1991,3,9,September,30,Monday
19911006,1991-10-06,1991,4,10,October,6,Sunday
19911031,1991-10-31,1991,4,10,October,31,Thursday
19911201,1991-12-01,1991,4,12,December,1,Sunday
19920101,1992-01-01,1992,1,1,January,1,Wednesday
19920102,1992-01-02,1992,1,1,January,2,Thursday
19920203,1992-02-03,1992,1,2,February,3,Monday
19920222,1992-02-22,1992,1,2,February,22,Saturday
19920302,1992-03-02,1992,1,3,March,2,Monday
19920303,1992-03-03,1992,1,3,March,3,Tuesday
19920305,1992-03-05,1992,1,3,March,5,Thursday
19920401,1992-04-01,1992,2,4,April,1,Wednesday
19920501,1992-05-01,1992,2,5,May,1,Friday
19920601,1992-06-01,1992,2,6,June,1,Monday
19920612,1992-06-12,1992,2,6,June,12,Friday
19920620,1992-06-20,1992,2,6,June,20,Saturday
19920624,1992-06-24,1992,2,6,June,24,Wednesday
19920629,1992-06-29,1992,2,6,June,29,Monday
19920630,1992-06-30,1992,2,6,June,30,Tuesday
19920709,1992-07-09,1992,3,7,July,9,Thursday
19920725,1992-07-25,1992,3,7,July,25,Saturday
19920805,1992-08-05,1992,3,8,August,5,Wednesday
19920915,1992-09-15,1992,3,9,September,15,Tuesday
19920930,1992-09-30,1992,3,9,September,30,Wednesday
19921005,1992-10-05,1992,4,10,October,5,Monday
19921010,1992-10-10,1992,4,10,October,10,Saturday
19921017,1992-10-17,1992,4,10,October,17,Saturday
19921027,1992-10-27,1992,4,10,October,27,Tuesday
19921223,1992-12-23,1992,4,12,December,23,Wednesday
19930101,1993-01-01,1993,1,1,January,1,Friday
19930201,1993-02-01,1993,1,2,February,1,Monday
19930224,1993-02-24,1993,1,2,February,24,Wednesday
19930225,1993-02-25,1993,1,2,February,25,Thursday
19930312,1993-03-12,1993,1,3,March,12,Friday
19930407,1993-04-07,1993,2,4,April,7,Wednesday
19930420,1993-04-20,1993,2,4,April,20,Tuesday
19930506,1993-05-06,1993,2,5,May,6,Thursday
19930527,1993-05-27,1993,2,5,May,27,Thursday
19930601,1993-06-01,1993,2,6,June,1,Tuesday
19930620,1993-06-20,1993,2,6,June,20,Sunday
19930701,1993-07-01,1993,3,7,July,1,Thursday
19930801,1993-08-01,1993,3,8,August,1,Sunday
19930808,1993-08-08,1993,3,8,August,8,Sunday
19930830,1993-08-30,1993,3,8,August,30,Monday
19930910,1993-09-10,1993,3,9,September,10,Friday
19930915,1993-09-15,1993,3,9,September,15,Wednesday
19930916,1993-09-16,1993,3,9,September,16,Thursday
19930923,1993-09-23,1993,3,9,September,23,Thursday
19930927,1993-09-27,1993,3,9,September,27,Monday
19930929,1993-09-29,1993,3,9,September,29,Wednesday
19931001,1993-10-01,1993,4,10,October,1,Friday
