startup_id,cluster,log_funding,funding_rounds,years_since_founded,num_round_types_used,category_count
587,2,13.774689605110144,3,4.6,2,1.0
588,0,14.220976332738882,1,3.0,1,4.0
590,3,10.819798284210286,1,7.7,1,1.0
591,3,11.794345471549745,1,6.0,1,1.0
593,2,14.829779543529645,3,5.8,2,1.0
594,2,15.26242977619469,2,7.0,3,1.0
595,3,13.401510631691982,1,8.0,1,1.0
598,3,12.206077645517674,1,3.0,1,1.0
600,2,14.06857323494526,1,8.0,1,1.0
601,1,17.16066016761897,10,9.0,5,1.0
602,2,15.32970438840954,1,6.0,1,1.0
603,0,14.077875591662238,1,5.3,1,4.0
605,2,17.35067943955619,1,13.0,1,1.0
607,2,16.90698296433409,1,12.0,2,1.0
608,3,9.61587214452889,1,2.8,1,4.0
609,2,16.951004817371683,2,6.0,3,1.0
610,3,13.54370314700388,1,3.0,1,1.0
